상장유형,시장구분,종목명,상장일,공모가,공모금액,공모주식수,신주모집,구주매출,경쟁률,상장주식수,유통가능주식수,상장주선인
신규상장,KQ,레고켐바이오,2013-05-10,15500 ,21700000 ,1400000 ,1400000 ,,605:1,5771250 ,3228720 ,한국투자증권(주)
신규상장,KQ,엑세스바이오,2013-05-30,4500 ,22888431 ,5086318 ,5086318 ,,692:1,26000000 ,8913287 ,"유진투자증권(주),엔에이치투자증권주식회사"
신규상장,KQ,나스미디어,2013-07-17,8800 ,16887200 ,1919000 ,969000 ,950000 ,781.6251:1,8246432 ,1019629 ,케이비투자증권(주)
신규상장,KQ,KG ETS,2013-07-24,3800 ,30827120 ,8112400 ,4056200 ,4056200 ,390.9:1,36000000 ,14336380 ,엔에이치투자증권주식회사
신규상장,KQ,파이오링크,2013-08-01,10500 ,12600000 ,1200000 ,1200000 ,,720.3:1,5142330 ,1937252 ,엘아이지투자증권(주)
신규상장,KQ,GH신소재,2013-08-02,3100 ,7440000 ,2400000 ,2400000 ,,987.8:1,7000000 ,941985 ,미래에셋증권(주)
신규상장,KQ,아미코젠,2013-09-12,25000 ,15762975 ,630519 ,630519 ,,641.43:1,4125000 ,2167807 ,엔에이치투자증권주식회사
신규상장,KQ,지엔씨에너지,2013-10-02,6000 ,7200000 ,1200000 ,1200000 ,,1251:1,4346667 ,1126239 ,교보증권(주)
신규상장,KQ,엘티씨,2013-10-08,20500 ,26728474 ,1303828 ,1303828 ,,702.54:1,6550000 ,2302500 ,키움증권(주)
신규상장,KQ,파수,2013-10-18,5800 ,9280000 ,1600000 ,1600000 ,,449.721594:1,7929695 ,4560420 ,삼성증권(주)
신규상장,KQ,테스나,2013-10-22,13500 ,9767952 ,723552 ,723552 ,,643.73:1,6850000 ,3599650 ,키움증권(주)
신규상장,KQ,내츄럴엔도텍,2013-10-31,40000 ,21200000 ,530000 ,530000 ,,609.82:1,5260120 ,2869217 ,키움증권(주)
신규상장,KQ,해성옵틱스,2013-11-06,6600 ,21615330 ,3275050 ,3275050 ,,249.01:1,16375000 ,7139540 ,엔에이치투자증권주식회사
신규상장,KQ,협진,2013-11-08,8100 ,8505000 ,1050000 ,1050000 ,,472.29:1,6000000 ,2892210 ,한국투자증권(주)
신규상장,KQ,THE MIDONG,2013-11-13,20000 ,19417460 ,970873 ,670873 ,300000 ,585:1,3000000 ,995857 ,엔에이치투자증권주식회사
신규상장,KQ,램테크놀러지,2013-11-18,3900 ,4875000 ,1250000 ,1250000 ,,640.94:1,6826647 ,2564719 ,한국투자증권(주)
신규상장,KQ,라이온켐텍,2013-11-19,12500 ,37011563 ,2960925 ,1943425 ,1017500 ,598:1,10163425 ,1574969 ,하나금융투자(주)
신규상장,KQ,큐브엔터,2013-11-21,2000 ,13000000 ,6500000 ,6500000 ,,1.55:1,7000000 ,6500000 ,엔에이치투자증권주식회사
신규상장,KQ,디엠티,2013-11-26,5700 ,6113632 ,1072567 ,1072567 ,,536:1,7500000 ,2961618 ,하나금융투자(주)
신규상장,KQ,엔브이에이치코리아,2013-12-03,4500 ,38250000 ,8500000 ,8500000 ,,18.4:1,28722222 ,10225866 ,미래에셋증권(주)
신규상장,KQ,현대공업,2013-12-04,7500 ,22525763 ,3003427 ,2603427 ,400000 ,697:1,10000000 ,1846009 ,신영증권(주)
